"","terr_id","year","territory","final_year","extinction","count_cities"
"116","0B0079",1755,"Bourbonen (Frankreich)",1823,0,2
"117","0B0079",1756,"Bourbonen (Frankreich)",1823,0,2
"118","0B0079",1757,"Bourbonen (Frankreich)",1823,0,2
"119","0B0079",1758,"Bourbonen (Frankreich)",1823,0,2
"120","0B0079",1759,"Bourbonen (Frankreich)",1823,0,2
"121","0B0079",1760,"Bourbonen (Frankreich)",1823,0,2
"122","0B0079",1761,"Bourbonen (Frankreich)",1823,0,2
"123","0B0079",1762,"Bourbonen (Frankreich)",1823,0,2
"124","0B0079",1763,"Bourbonen (Frankreich)",1823,0,2
"125","0B0079",1764,"Bourbonen (Frankreich)",1823,0,2
"126","0B0079",1765,"Bourbonen (Frankreich)",1823,0,2
"127","0B0079",1766,"Bourbonen (Frankreich)",1823,0,4
"128","0B0079",1767,"Bourbonen (Frankreich)",1823,0,4
"129","0B0079",1768,"Bourbonen (Frankreich)",1823,0,4
"130","0B0079",1769,"Bourbonen (Frankreich)",1823,0,4
"131","0B0079",1770,"Bourbonen (Frankreich)",1823,0,4
"132","0B0079",1771,"Bourbonen (Frankreich)",1823,0,4
"133","0B0079",1772,"Bourbonen (Frankreich)",1823,0,4
"134","0B0079",1773,"Bourbonen (Frankreich)",1823,0,4
"135","0B0079",1774,"Bourbonen (Frankreich)",1823,0,4
"136","0B0079",1775,"Bourbonen (Frankreich)",1823,0,4
"137","0B0079",1776,"Bourbonen (Frankreich)",1823,0,4
"138","0B0079",1777,"Bourbonen (Frankreich)",1823,0,4
"139","0B0079",1778,"Bourbonen (Frankreich)",1823,0,4
"140","0B0079",1779,"Bourbonen (Frankreich)",1823,0,4
"141","0B0079",1780,"Bourbonen (Frankreich)",1823,0,4
"142","0B0079",1781,"Bourbonen (Frankreich)",1823,0,4
"143","0B0079",1782,"Bourbonen (Frankreich)",1823,0,4
"144","0B0079",1783,"Bourbonen (Frankreich)",1823,0,4
"145","0B0079",1784,"Bourbonen (Frankreich)",1823,0,4
"146","0B0079",1785,"Bourbonen (Frankreich)",1823,0,4
"147","0B0079",1786,"Bourbonen (Frankreich)",1823,0,4
"148","0B0079",1787,"Bourbonen (Frankreich)",1823,0,4
"149","0B0079",1788,"Bourbonen (Frankreich)",1823,0,4
"150","0B0079",1789,"Bourbonen (Frankreich)",1823,0,3
"151","0B0079",1790,"Bourbonen (Frankreich)",1823,0,3
"152","0B0079",1791,"Bourbonen (Frankreich)",1823,0,3
"153","0B0080",1575,"Bathory (Polen)",1585,0,51
"154","0B0080",1576,"Bathory (Polen)",1585,0,51
"155","0B0080",1577,"Bathory (Polen)",1585,0,51
"156","0B0080",1578,"Bathory (Polen)",1585,0,51
"157","0B0080",1579,"Bathory (Polen)",1585,0,51
"158","0B0080",1580,"Bathory (Polen)",1585,0,51
"159","0B0080",1581,"Bathory (Polen)",1585,0,51
"160","0B0080",1582,"Bathory (Polen)",1585,0,51
"161","0B0080",1583,"Bathory (Polen)",1585,0,51
"162","0B0080",1584,"Bathory (Polen)",1585,0,51
"163","0B0080",1585,"Bathory (Polen)",1585,1,51
"164","0B0081",1646,"Bayern-Leuchtenberg",1704,0,1
"165","0B0081",1647,"Bayern-Leuchtenberg",1704,0,1
"166","0B0081",1648,"Bayern-Leuchtenberg",1704,0,1
"167","0B0081",1649,"Bayern-Leuchtenberg",1704,0,1
"168","0B0081",1650,"Bayern-Leuchtenberg",1704,0,1
"169","0B0081",1651,"Bayern-Leuchtenberg",1704,0,1
"170","0B0081",1652,"Bayern-Leuchtenberg",1704,0,1
"171","0B0081",1653,"Bayern-Leuchtenberg",1704,0,1
"172","0B0081",1654,"Bayern-Leuchtenberg",1704,0,1
"173","0B0081",1655,"Bayern-Leuchtenberg",1704,0,1
"174","0B0081",1656,"Bayern-Leuchtenberg",1704,0,1
"175","0B0081",1657,"Bayern-Leuchtenberg",1704,0,1
"176","0B0081",1658,"Bayern-Leuchtenberg",1704,0,1
"177","0B0081",1659,"Bayern-Leuchtenberg",1704,0,1
"178","0B0081",1660,"Bayern-Leuchtenberg",1704,0,1
"179","0B0081",1661,"Bayern-Leuchtenberg",1704,0,1
"180","0B0081",1662,"Bayern-Leuchtenberg",1704,0,1
"181","0B0081",1663,"Bayern-Leuchtenberg",1704,0,1
"182","0B0081",1664,"Bayern-Leuchtenberg",1704,0,1
"183","0B0081",1665,"Bayern-Leuchtenberg",1704,0,1
"184","0B0081",1666,"Bayern-Leuchtenberg",1704,0,1
"185","0B0081",1667,"Bayern-Leuchtenberg",1704,0,1
"186","0B0081",1668,"Bayern-Leuchtenberg",1704,0,1
"187","0B0081",1669,"Bayern-Leuchtenberg",1704,0,1
"188","0B0081",1670,"Bayern-Leuchtenberg",1704,0,1
"189","0B0081",1671,"Bayern-Leuchtenberg",1704,0,1
"190","0B0081",1672,"Bayern-Leuchtenberg",1704,0,1
"191","0B0081",1673,"Bayern-Leuchtenberg",1704,0,1
"192","0B0081",1674,"Bayern-Leuchtenberg",1704,0,1
"193","0B0081",1675,"Bayern-Leuchtenberg",1704,0,1
"194","0B0081",1676,"Bayern-Leuchtenberg",1704,0,1
"195","0B0081",1677,"Bayern-Leuchtenberg",1704,0,1
"196","0B0081",1678,"Bayern-Leuchtenberg",1704,0,1
"197","0B0081",1679,"Bayern-Leuchtenberg",1704,0,1
"198","0B0081",1680,"Bayern-Leuchtenberg",1704,0,1
"199","0B0081",1681,"Bayern-Leuchtenberg",1704,0,1
"200","0B0081",1682,"Bayern-Leuchtenberg",1704,0,1
"201","0B0081",1683,"Bayern-Leuchtenberg",1704,0,1
"202","0B0081",1684,"Bayern-Leuchtenberg",1704,0,1
"203","0B0081",1685,"Bayern-Leuchtenberg",1704,0,1
"204","0B0081",1686,"Bayern-Leuchtenberg",1704,0,1
"205","0B0081",1687,"Bayern-Leuchtenberg",1704,0,1
"206","0B0081",1688,"Bayern-Leuchtenberg",1704,0,1
"207","0B0081",1689,"Bayern-Leuchtenberg",1704,0,1
"208","0B0081",1690,"Bayern-Leuchtenberg",1704,0,1
"209","0B0081",1691,"Bayern-Leuchtenberg",1704,0,1
"210","0B0081",1692,"Bayern-Leuchtenberg",1704,0,1
"211","0B0081",1693,"Bayern-Leuchtenberg",1704,0,1
"212","0B0081",1694,"Bayern-Leuchtenberg",1704,0,1
"213","0B0081",1695,"Bayern-Leuchtenberg",1704,0,1
"214","0B0081",1696,"Bayern-Leuchtenberg",1704,0,1
"215","0B0081",1697,"Bayern-Leuchtenberg",1704,0,1
"216","0B0081",1698,"Bayern-Leuchtenberg",1704,0,1
"217","0B0081",1699,"Bayern-Leuchtenberg",1704,0,1
"218","0B0081",1700,"Bayern-Leuchtenberg",1704,0,1
"219","0B0081",1701,"Bayern-Leuchtenberg",1704,0,1
"220","0B0081",1702,"Bayern-Leuchtenberg",1704,0,1
"221","0B0081",1703,"Bayern-Leuchtenberg",1704,0,1
"222","0B0081",1704,"Bayern-Leuchtenberg",1704,1,1
"223","0B0082",1351,"(Wittelsbach-)Brandenburg",1378,0,136
"224","0B0082",1352,"(Wittelsbach-)Brandenburg",1378,0,134
"225","0B0082",1353,"(Wittelsbach-)Brandenburg",1378,0,133
"226","0B0082",1354,"(Wittelsbach-)Brandenburg",1378,0,120
"227","0B0082",1355,"(Wittelsbach-)Brandenburg",1378,0,120
"228","0B0082",1356,"(Wittelsbach-)Brandenburg",1378,0,119
"229","0B0082",1357,"(Wittelsbach-)Brandenburg",1378,0,119
"230","0B0082",1358,"(Wittelsbach-)Brandenburg",1378,0,118
"231","0B0082",1359,"(Wittelsbach-)Brandenburg",1378,0,118
"232","0B0082",1360,"(Wittelsbach-)Brandenburg",1378,0,118
"233","0B0082",1361,"(Wittelsbach-)Brandenburg",1378,0,118
"234","0B0082",1362,"(Wittelsbach-)Brandenburg",1378,0,118
"235","0B0082",1363,"(Wittelsbach-)Brandenburg",1378,0,118
"236","0B0082",1364,"(Wittelsbach-)Brandenburg",1378,0,118
"237","0B0082",1365,"(Wittelsbach-)Brandenburg",1378,0,117
"238","0B0082",1366,"(Wittelsbach-)Brandenburg",1378,0,117
"239","0B0082",1367,"(Wittelsbach-)Brandenburg",1378,0,117
"240","0B0082",1368,"(Wittelsbach-)Brandenburg",1378,0,113
"241","0B0082",1369,"(Wittelsbach-)Brandenburg",1378,0,113
"242","0B0082",1370,"(Wittelsbach-)Brandenburg",1378,0,87
"243","0B0082",1371,"(Wittelsbach-)Brandenburg",1378,0,87
"244","0B0082",1372,"(Wittelsbach-)Brandenburg",1378,0,87
"245","0C0017",1333,"Capet-Anjou (u.a. Polen)",1398,0,1
"246","0C0017",1334,"Capet-Anjou (u.a. Polen)",1398,0,1
"247","0C0017",1335,"Capet-Anjou (u.a. Polen)",1398,0,1
"248","0C0017",1336,"Capet-Anjou (u.a. Polen)",1398,0,1
"249","0C0017",1337,"Capet-Anjou (u.a. Polen)",1398,0,1
"250","0C0017",1338,"Capet-Anjou (u.a. Polen)",1398,0,1
"251","0C0017",1339,"Capet-Anjou (u.a. Polen)",1398,0,1
"252","0C0017",1340,"Capet-Anjou (u.a. Polen)",1398,0,1
"253","0C0017",1341,"Capet-Anjou (u.a. Polen)",1398,0,1
"254","0C0017",1342,"Capet-Anjou (u.a. Polen)",1398,0,1
"255","0C0017",1343,"Capet-Anjou (u.a. Polen)",1398,0,2
"256","0C0017",1344,"Capet-Anjou (u.a. Polen)",1398,0,2
"257","0C0017",1345,"Capet-Anjou (u.a. Polen)",1398,0,2
"258","0C0017",1346,"Capet-Anjou (u.a. Polen)",1398,0,2
"259","0C0017",1347,"Capet-Anjou (u.a. Polen)",1398,0,2
"260","0C0017",1348,"Capet-Anjou (u.a. Polen)",1398,0,2
"261","0C0017",1349,"Capet-Anjou (u.a. Polen)",1398,0,2
"262","0C0017",1350,"Capet-Anjou (u.a. Polen)",1398,0,2
"263","0C0017",1351,"Capet-Anjou (u.a. Polen)",1398,0,2
"264","0C0017",1352,"Capet-Anjou (u.a. Polen)",1398,0,2
"265","0C0017",1353,"Capet-Anjou (u.a. Polen)",1398,0,2
"266","0C0017",1354,"Capet-Anjou (u.a. Polen)",1398,0,2
"267","0C0017",1355,"Capet-Anjou (u.a. Polen)",1398,0,2
"268","0C0017",1356,"Capet-Anjou (u.a. Polen)",1398,0,2
"269","0C0017",1357,"Capet-Anjou (u.a. Polen)",1398,0,2
"270","0C0017",1358,"Capet-Anjou (u.a. Polen)",1398,0,2
"271","0C0017",1359,"Capet-Anjou (u.a. Polen)",1398,0,2
"272","0C0017",1360,"Capet-Anjou (u.a. Polen)",1398,0,2
"273","0C0017",1361,"Capet-Anjou (u.a. Polen)",1398,0,2
"274","0C0017",1362,"Capet-Anjou (u.a. Polen)",1398,0,2
"275","0C0017",1363,"Capet-Anjou (u.a. Polen)",1398,0,2
"276","0C0017",1364,"Capet-Anjou (u.a. Polen)",1398,0,2
"277","0C0017",1365,"Capet-Anjou (u.a. Polen)",1398,0,2
"278","0C0017",1366,"Capet-Anjou (u.a. Polen)",1398,0,2
